time,source_IP,destination_IP,source_Port,destination_Port,package_length
3.451267,39.1.101.199,192.168.212.37,3659,3659,69
3.452265,192.168.212.37,39.1.101.199,3659,3659,69
3.471898,39.1.101.199,192.168.212.37,3659,3659,96
3.471898,39.1.101.199,192.168.212.37,3659,3659,45
3.471898,39.1.101.199,192.168.212.37,3659,3659,56
3.472897,192.168.212.37,39.1.101.199,3659,3659,34
3.472897,192.168.212.37,39.1.101.199,3659,3659,69
3.472897,39.1.101.199,192.168.212.37,3659,3659,69
3.491655,192.168.212.37,39.1.101.199,3659,3659,57
3.492652,192.168.212.37,39.1.101.199,3659,3659,69
3.492652,39.1.101.199,192.168.212.37,3659,3659,69
3.497687,192.168.212.37,35.215.187.112,50697,50001,16
3.511602,192.168.212.37,39.1.101.199,3659,3659,69
3.513596,39.1.101.199,192.168.212.37,3659,3659,69
3.522573,35.215.187.112,192.168.212.37,50001,50697,16
3.531548,192.168.212.37,39.1.101.199,3659,3659,69
3.534581,39.1.101.199,192.168.212.37,3659,3659,69
3.551224,192.168.212.37,39.1.101.199,3659,3659,69
3.555334,39.1.101.199,192.168.212.37,3659,3659,69
3.571258,192.168.212.37,39.1.101.199,3659,3659,69
3.576245,39.1.101.199,192.168.212.37,3659,3659,69
3.580235,39.1.101.199,192.168.212.37,3659,3659,34
3.591205,192.168.212.37,39.1.101.199,3659,3659,69
3.597353,39.1.101.199,192.168.212.37,3659,3659,69
3.611151,192.168.212.37,39.1.101.199,3659,3659,69
3.618133,39.1.101.199,192.168.212.37,3659,3659,69
3.631098,192.168.212.37,39.1.101.199,3659,3659,69
3.632097,39.1.101.199,192.168.212.37,3659,3659,64
3.639085,39.1.101.199,192.168.212.37,3659,3659,69
3.645062,39.1.101.199,192.168.212.37,3659,3659,37
3.645062,192.168.212.37,39.1.101.199,3659,3659,34
3.64905,192.168.212.37,39.1.101.199,3659,3659,37
3.651045,192.168.212.37,39.1.101.199,3659,3659,69
3.659023,39.1.101.199,192.168.212.37,3659,3659,69
3.670991,192.168.212.37,39.1.101.199,3659,3659,69
3.679967,39.1.101.199,192.168.212.37,3659,3659,69
3.691935,192.168.212.37,39.1.101.199,3659,3659,69
3.70191,39.1.101.199,192.168.212.37,3659,3659,69
3.710885,192.168.212.37,39.1.101.199,3659,3659,69
3.722855,39.1.101.199,192.168.212.37,3659,3659,69
3.733823,192.168.212.37,39.1.101.199,3659,3659,69
3.74284,39.1.101.199,192.168.212.37,3659,3659,69
3.759293,192.168.212.37,39.1.101.199,3659,3659,69
3.762287,39.1.101.199,192.168.212.37,3659,3659,69
3.763284,39.1.101.199,192.168.212.37,3659,3659,34
3.770264,192.168.212.37,39.1.101.199,3659,3659,53
3.782231,39.1.101.199,192.168.212.37,3659,3659,69
3.787219,192.168.212.37,39.1.101.199,3659,3659,69
3.802178,39.1.101.199,192.168.212.37,3659,3659,53
3.802178,39.1.101.199,192.168.212.37,3659,3659,69
3.818136,192.168.212.37,39.1.101.199,3659,3659,69
3.824122,39.1.101.199,192.168.212.37,3659,3659,69
3.844083,39.1.101.199,192.168.212.37,3659,3659,69
3.845066,192.168.212.37,39.1.101.199,3659,3659,69
3.865013,39.1.101.199,192.168.212.37,3659,3659,69
3.872991,192.168.212.37,39.1.101.199,3659,3659,69
3.885956,39.1.101.199,192.168.212.37,3659,3659,69
3.886953,192.168.212.37,39.1.101.199,3659,3659,34
3.900915,192.168.212.37,39.1.101.199,3659,3659,69
3.9069,39.1.101.199,192.168.212.37,3659,3659,69
3.927843,192.168.212.37,39.1.101.199,3659,3659,69
3.927843,39.1.101.199,192.168.212.37,3659,3659,69
3.933861,39.1.101.199,192.168.212.37,3659,3659,64
3.948786,39.1.101.199,192.168.212.37,3659,3659,69
3.950781,192.168.212.37,39.1.101.199,3659,3659,69
3.969503,39.1.101.199,192.168.212.37,3659,3659,69
3.973459,192.168.212.37,39.1.101.199,3659,3659,69
3.990453,39.1.101.199,192.168.212.37,3659,3659,69
3.9954,192.168.212.37,39.1.101.199,3659,3659,69
4.002416,35.215.187.112,192.168.212.37,50001,50697,80
4.01139,39.1.101.199,192.168.212.37,3659,3659,69
4.017342,192.168.212.37,39.1.101.199,3659,3659,69
4.032531,39.1.101.199,192.168.212.37,3659,3659,69
4.039512,192.168.212.37,39.1.101.199,3659,3659,69
4.052478,39.1.101.199,192.168.212.37,3659,3659,69
